Data,Temperatura (°C),Temperatura máx (°C),Temperatura mín (°C),Temperatura da água (°C),Precipitação (mm),Horas de sol (h)
02/12/2021,26 °C,31 °C,24 °C,27 °C,1.1 mm,6.7
03/12/2021,26 °C,31 °C,24 °C,27 °C,1.1 mm,7.0
04/12/2021,26 °C,31 °C,24 °C,27 °C,1.1 mm,7.0
05/12/2021,26 °C,31 °C,24 °C,27 °C,1.3 mm,7.4
06/12/2021,27 °C,31 °C,24 °C,27 °C,1.0 mm,7.7
07/12/2021,27 °C,31 °C,24 °C,27 °C,0.9 mm,7.3
08/12/2021,27 °C,31 °C,24 °C,27 °C,1.3 mm,6.7
09/12/2021,26 °C,31 °C,24 °C,28 °C,1.0 mm,7.0
10/12/2021,26 °C,31 °C,24 °C,28 °C,1.1 mm,7.1
11/12/2021,26 °C,31 °C,24 °C,28 °C,1.2 mm,7.1
12/12/2021,26 °C,31 °C,24 °C,28 °C,1.3 mm,6.7
13/12/2021,26 °C,31 °C,24 °C,28 °C,1.1 mm,6.7
14/12/2021,26 °C,30 °C,24 °C,28 °C,1.3 mm,7.0
15/12/2021,26 °C,30 °C,24 °C,28 °C,2.2 mm,7.0
16/12/2021,26 °C,30 °C,24 °C,28 °C,1.8 mm,7.1
17/12/2021,26 °C,30 °C,24 °C,28 °C,2.0 mm,6.1
18/12/2021,26 °C,30 °C,24 °C,28 °C,1.6 mm,7.1
19/12/2021,26 °C,30 °C,24 °C,28 °C,1.5 mm,6.6
20/12/2021,26 °C,30 °C,24 °C,28 °C,1.4 mm,6.9
21/12/2021,26 °C,30 °C,24 °C,28 °C,1.5 mm,6.7
22/12/2021,26 °C,30 °C,24 °C,28 °C,1.4 mm,6.6
23/12/2021,26 °C,30 °C,24 °C,28 °C,1.6 mm,6.8
